语言,文件数,空行,注释,代码
Java,637,7989,18602,37702
Vuejs Component,126,2092,1731,24298
TypeScript,145,671,1722,5637
SCSS,13,264,75,1520
JavaScript,6,61,123,1208
合计,927,11077,22253,70365
