语言,文件数,空行,注释,代码
Java,353,4464,12057,23895
Vuejs Component,100,1626,790,20502
TypeScript,113,571,1429,4890
SCSS,8,240,75,1379
JavaScript,6,61,123,1208
合计,580,6962,14474,51874
