语言,文件数,空行,注释,代码
Java,381,4919,13018,25959
Vuejs Component,106,1781,860,22341
TypeScript,133,652,1722,5413
SCSS,8,240,75,1379
JavaScript,6,61,123,1208
合计,634,7653,15798,56300
