语言,文件数,空行,注释,代码
Java,545,7099,16371,34200
Vuejs Component,112,1929,1731,23257
TypeScript,133,652,1722,5413
SCSS,8,240,75,1379
JavaScript,6,61,123,1208
合计,804,9981,20022,65457
