语言,文件数,空行,注释,代码
Java,666,8073,19273,38794
Vuejs Component,131,2352,1816,26222
TypeScript,175,718,1752,5948
SCSS,13,264,75,1520
JavaScript,16,61,123,1276
合计,1001,11468,23039,73760
